iter	Passed	Remaining
719	10516	4089
720	10529	4074
721	10540	4058
722	10554	4043
723	10568	4028
724	10582	4013
725	10596	3999
726	10609	3984
727	10626	3970
728	10637	3954
729	10651	3939
730	10664	3924
731	10677	3909
732	10691	3894
733	10702	3878
734	10716	3863
735	10732	3849
736	10746	3834
737	10760	3820
738	10773	3805
739	10784	3789
740	10798	3774
741	10812	3759
742	10826	3744
743	10840	3730
744	10854	3715
745	10868	3700
746	10881	3685
747	10895	3670
748	10908	3655
749	10922	3640
750	10936	3625
751	10948	3610
752	10961	3595
753	10974	3580
754	10988	3565
755	11000	3550
756	11013	3535
757	11028	3521
758	11041	3506
759	11054	3490
760	11067	3475
761	11079	3460
762	11092	3445
763	11105	3430
764	11118	3415
765	11129	3399
766	11146	3386
767	11159	3371
768	11174	3356
769	11187	3341
770	11200	3326
771	11213	3311
772	11225	3296
773	11240	3282
774	11254	3267
775	11269	3253
776	11283	3238
777	11297	3223
778	11309	3208
779	11322	3193
780	11335	3178
781	11350	3164
782	11363	3149
783	11376	3134
784	11402	3123
785	11428	3111
786	11455	3100
787	11481	3088
788	11511	3078
789	11543	3068
790	11583	3060
791	11617	3051
792	11655	3042
793	11713	3038
794	11734	3025
795	11751	3011
796	11773	2998
797	11790	2984
798	11808	2970
799	11827	2956
800	11844	2942
801	11863	2928
802	11881	2914
803	11907	2902
804	11926	2889
805	11947	2875
806	11976	2864
807	12012	2854
808	12048	2844
809	12093	2836
810	12126	2825
811	12159	2815
812	12194	2804
813	12237	2796
814	12267	2784
815	12297	2772
816	12325	2760
817	12356	2749
818	12388	2737
819	12419	2726
820	12444	2713
821	12471	2700
822	12508	2690
823	12541	2678
824	12572	2666
825	12596	2653
826	12623	2640
827	12651	2628
828	12674	2614
829	12704	2602
830	12725	2588
831	12746	2573
832	12766	2559
833	12784	2544
834	12807	2530
835	12837	2518
836	12866	2505
837	12903	2494
838	12934	2482
839	12955	2467
840	12988	2455
841	13008	2440
842	13035	2427
843	13067	2415
844	13096	2402
845	13121	2388
846	13139	2373
847	13156	2358
848	13174	2343
849	13195	2328
850	13215	2313
851	13230	2298
852	13244	2282
853	13263	2267
854	13285	2253
855	13302	2237
856	13319	2222
857	13338	2207
858	13355	2192
859	13376	2177
860	13395	2162
861	13413	2147
862	13434	2132
863	13453	2117
864	13474	2103
865	13496	2088
866	13513	2072
867	13530	2057
868	13550	2042
869	13567	2027
870	13585	2012
871	13601	1996
872	13618	1981
873	13635	1965
874	13656	1950
875	13673	1935
876	13692	1920
877	13722	1906
878	13743	1891
879	13781	1879
880	13825	1867
881	13871	1855
882	13951	1848
883	13994	1836
884	14016	1821
885	14037	1806
886	14060	1791
887	14084	1776
888	14109	1761
889	14131	1746
890	14148	1730
891	14166	1715
892	14185	1699
893	14202	1683
894	14219	1668
895	14233	1652
896	14248	1636
897	14269	1620
898	14287	1605
899	14302	1589
900	14315	1572
901	14328	1556
902	14341	1540
903	14355	1524
904	14371	1508
905	14385	1492
906	14399	1476
907	14412	1460
908	14423	1443
909	14437	1427
910	14450	1411
911	14465	1395
912	14479	1379
913	14494	1363
914	14505	1347
915	14520	1331
916	14533	1315
917	14546	1299
918	14561	1283
919	14574	1267
920	14589	1251
921	14601	1235
922	14614	1219
923	14628	1203
924	14643	1187
925	14656	1171
926	14668	1155
927	14684	1139
928	14701	1123
929	14716	1107
930	14732	1091
931	14746	1075
932	14760	1059
933	14775	1044
934	14788	1028
935	14803	1012
936	14815	996
937	14829	980
938	14843	964
939	14855	948
940	14868	932
941	14880	916
942	14896	900
943	14909	884
944	14922	868
945	14935	852
946	14947	836
947	14961	820
948	14977	804
949	14992	789
950	15005	773
951	15019	757
952	15032	741
953	15044	725
954	15057	709
955	15070	693
956	15084	677
957	15096	661
958	15111	646
959	15126	630
960	15139	614
961	15152	598
962	15166	582
963	15177	566
964	15190	550
965	15205	535
966	15217	519
967	15233	503
968	15247	487
969	15261	472
970	15275	456
971	15286	440
972	15298	424
973	15314	408
974	15328	393
975	15342	377
976	15356	361
977	15367	345
978	15383	329
979	15396	314
980	15412	298
981	15426	282
982	15439	267
983	15453	251
984	15464	235
985	15478	219
986	15491	204
987	15506	188
988	15519	172
989	15530	156
990	15543	141
991	15557	125
992	15572	109
993	15585	94
994	15599	78
995	15611	62
996	15627	47
997	15640	31
998	15653	15
999	15667	0
